brand_match,type_match,cat_match,token_overlap_count,token_overlap_ratio,first_token_match,query_len,title_len,has_brand_intent,bm25_score,title_jaccard,title_fuzzy,label
1.0,0.0,1.0,2.0,0.5,0.0,4.0,8.0,1.0,23.434777436627755,0.2,0.48148148148148145,1
1.0,0.0,1.0,2.0,0.5,0.0,4.0,8.0,1.0,23.434777436627755,0.2,0.48148148148148145,0
1.0,0.0,1.0,2.0,0.5,0.0,4.0,8.0,1.0,23.434777436627755,0.2,0.49056603773584906,0
1.0,0.0,1.0,2.0,0.5,0.0,4.0,8.0,1.0,23.434777436627755,0.2,0.48148148148148145,0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.07407407407407407,1
0.0,0.0,0.0,1.0,0.5,0.0,2.0,9.0,0.0,12.29676302635637,0.1,0.2222222222222222,0
0.0,0.0,0.0,1.0,0.5,0.0,2.0,8.0,0.0,11.367547259741396,0.1111111111111111,0.21818181818181817,0
0.0,0.0,0.0,1.0,0.5,0.0,2.0,8.0,0.0,11.367547259741396,0.1111111111111111,0.21818181818181817,0
1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,0.0,0.14035087719298245,1
1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.03571428571428571,0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0821917808219178,0
1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0,0.08955223880597014,0
1.0,0.0,0.0,3.0,0.75,0.0,4.0,11.0,1.0,19.53221549431937,0.25,0.42105263157894735,1
1.0,0.0,0.0,2.0,0.5,0.0,4.0,7.0,1.0,12.28669867377395,0.2222222222222222,0.42105263157894735,0
1.0,0.0,0.0,2.0,0.5,0.0,4.0,7.0,1.0,12.28669867377395,0.2222222222222222,0.42857142857142855,0
1.0,0.0,0.0,2.0,0.5,0.0,4.0,8.0,1.0,12.119992277016028,0.2,0.42857142857142855,0
0.0,0.0,0.0,2.0,0.6666666666666666,1.0,3.0,8.0,0.0,12.181539863471249,0.2222222222222222,0.35294117647058826,1
0.0,0.0,0.0,2.0,0.6666666666666666,1.0,3.0,14.0,0.0,15.06860015657157,0.13333333333333333,0.32098765432098764,0
0.0,0.0,0.0,1.0,0.3333333333333333,0.0,3.0,8.0,0.0,13.885346412655386,0.1,0.2727272727272727,0
