bm25_score,brand_match,cat_match,digit_match,levenshtein,token_overlap_ratio,title_len,query_len,label,qid
11.247248317472211,1.0,0.0,1.0,0.3142857142857143,0.25,10.0,4.0,1,0
22.05226009140106,1.0,1.0,1.0,0.4931506849315068,0.5,10.0,4.0,0,0
21.05368741755531,1.0,1.0,1.0,0.3793103448275862,0.25,8.0,4.0,0,0
20.74247974759929,1.0,1.0,1.0,0.4571428571428572,0.25,9.0,4.0,0,0
0.0,0.0,0.0,1.0,0.17142857142857137,0.0,7.0,6.0,1,1
11.800191549044621,1.0,0.0,1.0,0.27118644067796616,0.16666666666666666,15.0,6.0,0,1
10.6191614258875,1.0,0.0,1.0,0.31034482758620685,0.16666666666666666,15.0,6.0,0,1
10.458129284803643,1.0,0.0,1.0,0.26890756302521013,0.16666666666666666,17.0,6.0,0,1
21.709372173704978,1.0,0.0,1.0,0.23076923076923073,1.0,14.0,2.0,1,2
15.934490221699946,1.0,0.0,1.0,0.4,0.5,5.0,2.0,0,2
10.620598122573611,1.0,0.0,1.0,0.303030303030303,0.0,5.0,2.0,0,2
9.94497302414891,0.0,1.0,1.0,0.3783783783783784,0.5,5.0,2.0,0,2
27.44879652148351,1.0,0.0,1.0,0.625,1.0,7.0,3.0,1,3
11.158160601877519,1.0,0.0,1.0,0.4516129032258065,0.3333333333333333,4.0,3.0,0,3
10.892202404484921,1.0,0.0,1.0,0.46153846153846156,0.3333333333333333,5.0,3.0,0,3
10.48837140245417,0.0,0.0,1.0,0.3214285714285714,0.0,8.0,3.0,0,3
15.263452512215114,0.0,0.0,1.0,0.3902439024390244,1.0,7.0,1.0,1,4
15.263452512215114,0.0,0.0,1.0,0.30188679245283023,1.0,8.0,1.0,0,4
0.0,0.0,0.0,1.0,0.2142857142857143,0.0,4.0,1.0,0,4
0.0,0.0,0.0,1.0,0.14492753623188404,0.0,12.0,1.0,0,4
0.0,0.0,0.0,1.0,0.2702702702702703,0.0,5.0,2.0,1,5
0.0,0.0,0.0,1.0,0.24489795918367352,0.0,8.0,2.0,0,5
0.0,0.0,0.0,1.0,0.24489795918367352,0.0,10.0,2.0,0,5
0.0,0.0,0.0,1.0,0.1724137931034483,0.0,10.0,2.0,0,5
5.745347645430885,1.0,0.0,1.0,0.3232323232323232,0.0,15.0,6.0,1,6
16.408310638562632,0.0,0.0,1.0,0.4,0.16666666666666666,7.0,6.0,0,6
14.290293823364017,0.0,0.0,1.0,0.3728813559322034,0.3333333333333333,10.0,6.0,0,6
13.823521951110195,0.0,0.0,1.0,0.3125,0.3333333333333333,12.0,6.0,0,6
0.0,0.0,0.0,1.0,0.1333333333333333,0.0,8.0,4.0,1,7
13.183874306445384,0.0,0.0,1.0,0.22857142857142854,0.25,10.0,4.0,0,7
0.0,0.0,0.0,1.0,0.19999999999999996,0.0,9.0,4.0,0,7
0.0,0.0,0.0,1.0,0.22784810126582278,0.0,11.0,4.0,0,7
17.830985829711743,1.0,1.0,1.0,0.41463414634146345,0.5,14.0,4.0,1,8
17.046138558717026,1.0,1.0,1.0,0.41463414634146345,0.5,12.0,4.0,0,8
16.75153808748235,1.0,1.0,1.0,0.41463414634146345,0.5,12.0,4.0,0,8
13.63739617886031,0.0,0.0,1.0,0.28985507246376807,0.25,12.0,4.0,0,8
0.0,0.0,0.0,0.0,0.2857142857142857,0.0,11.0,12.0,1,9
21.96846849154247,1.0,0.0,1.0,0.4545454545454546,0.16666666666666666,15.0,12.0,0,9
13.27361329572059,0.0,0.0,1.0,0.25899280575539574,0.08333333333333333,11.0,12.0,0,9
13.085537145097872,0.0,0.0,0.0,0.18604651162790697,0.08333333333333333,8.0,12.0,0,9
3.5253382527244916,0.0,1.0,0.0,0.18965517241379315,0.16666666666666666,15.0,6.0,1,10
15.983064695503767,0.0,1.0,0.0,0.33870967741935487,0.3333333333333333,15.0,6.0,0,10
15.895268441219747,1.0,1.0,0.0,0.24761904761904763,0.3333333333333333,13.0,6.0,0,10
14.84703799158897,0.0,1.0,0.0,0.2909090909090909,0.3333333333333333,13.0,6.0,0,10
23.436224057686687,1.0,1.0,1.0,0.4814814814814815,0.5,8.0,4.0,1,11
23.436224057686687,1.0,1.0,1.0,0.4814814814814815,0.5,8.0,4.0,0,11
23.436224057686687,1.0,1.0,1.0,0.49056603773584906,0.5,8.0,4.0,0,11
23.436224057686687,1.0,1.0,1.0,0.4814814814814815,0.5,8.0,4.0,0,11
0.0,0.0,0.0,1.0,0.07407407407407407,0.0,3.0,2.0,1,12
12.297522101470214,0.0,0.0,1.0,0.2592592592592593,0.5,9.0,2.0,0,12
11.368431850184205,0.0,0.0,1.0,0.2909090909090909,0.5,8.0,2.0,0,12
11.368431850184205,0.0,0.0,1.0,0.2909090909090909,0.5,8.0,2.0,0,12
0.0,1.0,0.0,1.0,0.21052631578947367,0.0,7.0,4.0,1,13
0.0,1.0,0.0,1.0,0.1132075471698113,0.0,7.0,4.0,0,13
0.0,1.0,0.0,1.0,0.14634146341463417,0.0,12.0,4.0,0,13
0.0,1.0,0.0,1.0,0.21999999999999997,0.0,15.0,4.0,0,13
19.534132607135888,1.0,0.0,1.0,0.42105263157894735,0.75,11.0,4.0,1,14
12.287535292101882,1.0,0.0,1.0,0.45614035087719296,0.5,7.0,4.0,0,14
12.287535292101882,1.0,0.0,1.0,0.4642857142857143,0.5,7.0,4.0,0,14
12.12084902213591,1.0,0.0,1.0,0.4642857142857143,0.5,8.0,4.0,0,14
12.1831571091916,0.0,0.0,1.0,0.3529411764705882,0.6666666666666666,8.0,3.0,1,15
15.07013249403412,0.0,0.0,1.0,0.32098765432098764,0.6666666666666666,14.0,3.0,0,15
13.886132525753801,0.0,0.0,1.0,0.31818181818181823,0.3333333333333333,8.0,3.0,0,15
12.979275904713921,0.0,0.0,1.0,0.3846153846153846,0.3333333333333333,4.0,3.0,0,15
8.8135143078866,1.0,0.0,1.0,0.2142857142857143,0.5,11.0,2.0,1,16
13.394269258289256,0.0,0.0,1.0,0.25531914893617025,0.5,8.0,2.0,0,16
13.18795260786995,0.0,0.0,1.0,0.3111111111111111,0.5,8.0,2.0,0,16
12.60545386138123,0.0,0.0,1.0,0.24561403508771928,0.5,12.0,2.0,0,16
0.0,1.0,1.0,1.0,0.19999999999999996,0.0,9.0,3.0,1,17
14.866007197910225,1.0,0.0,1.0,0.29166666666666663,0.3333333333333333,7.0,3.0,0,17
12.294854228680354,1.0,0.0,1.0,0.36363636363636365,0.3333333333333333,7.0,3.0,0,17
11.775654775072248,0.0,0.0,1.0,0.36734693877551017,0.3333333333333333,8.0,3.0,0,17
22.77760822020178,1.0,0.0,1.0,0.4444444444444444,0.3333333333333333,4.0,3.0,1,18
16.274105272932424,0.0,0.0,1.0,0.3793103448275862,0.3333333333333333,7.0,3.0,0,18
15.449079348198559,1.0,0.0,1.0,0.41666666666666663,0.3333333333333333,6.0,3.0,0,18
14.06093254702854,1.0,0.0,1.0,0.19354838709677424,0.0,3.0,3.0,0,18
14.603002917316545,0.0,1.0,1.0,0.5,0.25,7.0,4.0,1,19
16.94274337230859,1.0,0.0,1.0,0.339622641509434,0.25,6.0,4.0,0,19
15.355710578693696,0.0,0.0,1.0,0.33333333333333337,0.25,9.0,4.0,0,19
14.585470379291397,1.0,1.0,1.0,0.4528301886792453,0.25,6.0,4.0,0,19
0.0,1.0,0.0,1.0,0.25,0.0,10.0,3.0,1,20
16.999713472649006,1.0,0.0,1.0,0.24691358024691357,0.3333333333333333,12.0,3.0,0,20
13.741216293040035,1.0,1.0,1.0,0.5909090909090908,0.6666666666666666,7.0,3.0,0,20
13.563417858997052,1.0,1.0,1.0,0.42622950819672134,0.6666666666666666,9.0,3.0,0,20
17.967909325434505,0.0,0.0,1.0,0.25316455696202533,0.6666666666666666,14.0,3.0,1,21
16.67354789917821,0.0,0.0,1.0,0.2564102564102564,0.6666666666666666,14.0,3.0,0,21
13.175470858232035,1.0,0.0,1.0,0.37209302325581395,0.3333333333333333,7.0,3.0,0,21
11.280161800616083,1.0,0.0,1.0,0.48275862068965514,0.3333333333333333,4.0,3.0,0,21
23.748878153714067,0.0,0.0,1.0,0.2962962962962963,1.0,11.0,2.0,1,22
13.042104991245168,0.0,0.0,1.0,0.2222222222222222,0.5,6.0,2.0,0,22
12.642403010687328,0.0,0.0,1.0,0.2857142857142857,0.5,6.0,2.0,0,22
11.912252340009154,0.0,0.0,1.0,0.13793103448275867,0.5,12.0,2.0,0,22
17.636686608953845,0.0,0.0,1.0,0.29032258064516125,1.0,11.0,2.0,1,23
15.776861924082901,1.0,0.0,1.0,0.18461538461538463,0.5,11.0,2.0,0,23
15.66261837772155,0.0,0.0,1.0,0.29032258064516125,1.0,11.0,2.0,0,23
15.445436029614836,0.0,0.0,1.0,0.17910447761194026,0.5,13.0,2.0,0,23
5.568888581694063,0.0,0.0,1.0,0.23076923076923073,0.0,8.0,2.0,1,24
9.026601133136353,0.0,0.0,1.0,0.26415094339622647,0.5,10.0,2.0,0,24
8.86520944186317,1.0,0.0,1.0,0.33333333333333337,0.5,5.0,2.0,0,24
8.86520944186317,1.0,0.0,1.0,0.25,0.5,4.0,2.0,0,24
